

OSG efficiency summary by Site & VO for  2017-04-01 - 2017-05-01 (midnight UTC - midnight UTC)
including all jobs that finished in that time period.
Wall Duration (Wall) is expressed in hours and rounded to the nearest hour. Wall
Duration is the duration between the instant the job started running
and the instant the job ended its execution.
Deltas are the differences with the previous period.
For all jobs finished between 2017-04-01 and 2017-05-01 (midnight UTC)
---------------------------------------------------------------------------------------------------------------------------------------------------------
  #   | Site                   | VO              |     Cores |     Njobs |     Delta |      Wall |      Delta | CpuToWall | Delta | %Effi | Delta
---------------------------------------------------------------------------------------------------------------------------------------------------------
  64  | CIT_CMS_T2B            | nova            |         1 |         0 |        -4 |         0 |         -1 |      0.00 |  0.00 |     0 |     0
  65  | CIT_CMS_T2B            | nova            |         8 |         0 |       -18 |         0 |         -6 |      0.00 | -0.01 |     0 |     0
  66  | CIT_CMS_T2B            | osg             |         1 |         0 |      -639 |         0 |    -34,444 |      0.00 | -0.98 |     0 |   -98
  67  | CIT_CMS_T2B            | osg             |         8 |     8,160 |     5,924 |  43,122.4 |     -5,108 |      5.47 | -0.60 |    68 |    -8
  68  | CIT_CMS_T2B            | sbgrid          |         1 |         0 |       -54 |         0 |       -304 |      0.00 | -0.92 |     0 |   -92
  69  | COMET                  | cms             |        24 |        83 |      -721 |     120.9 |     -1,908 |     16.53 | 15.90 |    69 |    66
  70  | COMET                  | osg             |        24 |     1,615 |    -1,091 |  20,498.1 |     12,582 |     18.77 |  8.07 |    78 |    33
  71  | CancerComputer_Miron_CE | osg             |         6 |       330 |        36 |   9,892.5 |       -936 |      5.78 |  0.17 |    96 |     2
  72  | Clemson-Palmetto       | atlas           |         1 |    20,877 |     3,590 |   6,813.1 |    -33,973 |      0.65 | -0.27 |    65 |   -27
  73  | Clemson-Palmetto       | cms             |         1 |     9,790 |      -720 |     107.9 |        -27 |      0.40 |  0.02 |    40 |     2
  74  | Clemson-Palmetto       | fermilab        |         1 |       327 |      -301 |   1,467.5 |     -1,481 |      0.62 | -0.21 |    62 |   -21
  75  | Clemson-Palmetto       | fermilab        |         8 |       223 |       -66 |   1,157.7 |       -209 |      3.20 | -1.52 |    40 |   -19
  76  | Clemson-Palmetto       | glow            |         1 |       983 |         7 |   3,402.9 |     -2,332 |      0.72 | -0.12 |    72 |   -12
  77  | Clemson-Palmetto       | glow            |         8 |       881 |       352 |   3,720.1 |        317 |      3.83 | -0.65 |    48 |    -8
  78  | Clemson-Palmetto       | nova            |         1 |         0 |        -1 |         0 |         -1 |      0.00 | -0.72 |     0 |   -72
  79  | Clemson-Palmetto       | osg             |         1 |       258 |       -83 |   4,473.2 |     -1,565 |      0.86 | -0.02 |    86 |    -2
  80  | Clemson-Palmetto       | osg             |         8 |       243 |        24 |   4,701.2 |        -18 |      4.68 | -0.57 |    58 |    -8
  81  | Clemson-Palmetto       | sbgrid          |         1 |        54 |        20 |     347.0 |         46 |      0.91 | -0.05 |    91 |    -5
  82  | Clemson-Palmetto       | sbgrid          |         8 |        26 |        15 |     276.7 |        173 |      6.28 | -0.56 |    78 |    -8
  83  | DukeConnect            | duke-connect (nr) |         1 |         0 |  -163,819 |         0 |   -147,110 |      0.00 | -0.85 |     0 |   -85
  84  | FIFE_SUBMIT            | annie           |         1 |    13,257 |    13,257 |   8,692.4 |      8,692 |      0.41 |  0.41 |    41 |    41
  85  | FIFE_SUBMIT            | argoneut        |         1 |     3,200 |   -10,802 |   2,717.8 |     -2,263 |      0.92 |  0.14 |    92 |    14
  86  | FIFE_SUBMIT            | cdf             |         1 |    51,693 |    33,053 | 109,797.3 |     43,459 |      0.45 | -0.07 |    45 |    -7
  87  | FIFE_SUBMIT            | cdms            |         1 |     5,635 |     5,635 |  58,592.3 |     58,592 |      0.88 |  0.88 |    88 |    88
  88  | FIFE_SUBMIT            | coupp           |         1 |     1,841 |     1,841 |   1,741.2 |      1,741 |      0.09 |  0.09 |     9 |     9
  89  | FIFE_SUBMIT            | darkside        |         1 |    19,327 |     9,319 |  55,177.8 |      3,507 |      0.70 | -0.13 |    70 |   -13
  90  | FIFE_SUBMIT            | des             |         1 |    72,292 |   -28,099 |  90,386.1 |    -39,200 |      0.58 |  0.11 |    58 |    11
  91  | FIFE_SUBMIT            | des             |         4 |    13,744 |     6,601 |  37,542.4 |     22,104 |      1.23 |  0.04 |    31 |     1
  92  | FIFE_SUBMIT            | dune            |         1 |   346,284 |    23,423 | 207,832.0 |   -212,994 |      0.83 | -0.04 |    83 |    -4
  93  | FIFE_SUBMIT            | fermilab        |         1 |       444 |    -5,627 |      35.0 |     -2,782 |      0.83 | -0.11 |    83 |   -11
  94  | FIFE_SUBMIT            | genie           |         1 |       245 |      -301 |     681.1 |       -346 |      0.68 |  0.13 |    68 |    13
  95  | FIFE_SUBMIT            | gm2             |         1 |   101,466 |   -40,853 |  83,368.8 |    -17,120 |      0.79 | -0.10 |    79 |   -10
  96  | FIFE_SUBMIT            | lariat          |         1 |    38,832 |    13,894 |  17,913.8 |     -5,857 |      0.59 | -0.17 |    59 |   -17
  97  | FIFE_SUBMIT            | mars            |         1 |    33,366 |    -1,163 | 362,550.9 |     36,072 |      0.92 |  0.07 |    92 |     7
  98  | FIFE_SUBMIT            | microboone      |         1 |   529,085 |    62,462 | 545,771.5 |   -107,740 |      0.69 | -0.09 |    69 |    -9
  99  | FIFE_SUBMIT            | minerva         |         1 |   209,823 |    65,586 | 249,372.4 |    -43,629 |      0.74 |  0.00 |    74 |     0
  100 | FIFE_SUBMIT            | minos           |         1 |   278,650 |   120,911 | 813,154.3 |   -168,753 |      0.98 |  0.12 |    98 |    12
  101 | FIFE_SUBMIT            | mu2e            |         1 |   170,560 |    56,661 | 426,702.0 |    -30,935 |      0.90 |  0.12 |    90 |    12
  102 | FIFE_SUBMIT            | nova            |         1 |   328,978 |    10,279 | 1,294,527.0 |   -453,199 |      0.65 | -0.12 |    65 |   -12
  103 | FIFE_SUBMIT            | numix           |         1 |       200 |      -850 |      33.4 |     -1,463 |      0.66 |  0.32 |    66 |    32
  104 | FIFE_SUBMIT            | sbnd            |         1 |     1,500 |    -9,274 |      67.9 |   -191,827 |      0.25 | -0.64 |    25 |   -64
  105 | FIFE_SUBMIT            | seaquest        |         1 |     7,361 |     2,669 |  22,361.9 |     14,771 |      0.84 | -0.05 |    84 |    -5
  106 | FIU_HPCOSG_CE          | osg             |         1 |       377 |       246 |  11,565.6 |     -3,499 |      0.69 | -0.11 |    69 |   -11
  107 | FLTECH                 | cms             |         1 |     7,827 |     6,085 |   7,231.1 |      5,258 |      0.48 |  0.06 |    48 |     6
  108 | FLTECH                 | glow            |         1 |    18,508 |    17,769 |  37,964.9 |     30,661 |      0.67 |  0.03 |    67 |     3
  109 | FLTECH                 | osg             |         1 |     7,604 |     6,376 |  40,192.5 |     34,760 |      0.69 | -0.01 |    69 |    -1
  110 | FNAL_GPGRID_4          | atlas           |         1 |         0 |    -1,104 |         0 |     -1,353 |      0.00 | -0.47 |     0 |   -47
  111 | FNAL_GPGRID_4          | atlas           |         8 |     1,026 |     1,026 |   5,652.2 |      5,652 |      0.96 |  0.96 |    12 |    12
  112 | FNAL_GPGRID_4          | fermilab        |         8 |    13,965 |     1,885 | 520,371.9 |   -200,837 |      4.97 | -0.05 |    62 |    -1
  113 | FNAL_GPGRID_4          | glow            |         1 |        69 |        69 |   1,650.5 |      1,650 |      0.00 |  0.00 |     0 |     0
  114 | FNAL_GPGRID_4          | glow            |         8 |       611 |       179 |  12,288.0 |      2,633 |      3.65 | -0.10 |    46 |    -1
  115 | FNAL_GPGRID_4          | hcc             |         8 |       448 |       448 |   7,909.9 |      7,909 |      3.58 |  3.58 |    45 |    45
  116 | FNAL_GPGRID_4          | icecube         |         8 |        63 |        63 |     112.6 |        112 |      3.68 |  3.68 |    46 |    46
  117 | FNAL_GPGRID_4          | nova            |         8 |         0 |       -21 |         0 |        -54 |      0.00 | -4.27 |     0 |   -53
  118 | FNAL_GPGRID_4          | osg             |         1 |        33 |       -51 |     772.9 |     -1,191 |      0.00 |  0.00 |     0 |     0
  119 | FNAL_GPGRID_4          | osg             |         8 |       866 |       182 |  17,152.9 |      2,065 |      4.79 | -0.47 |    60 |    -6
  120 | FNAL_GPGRID_4          | sbgrid          |         8 |        60 |        59 |     350.4 |        344 |      5.11 | -0.30 |    64 |    -4
  121 | FNAL_GPGRID_5          | atlas           |         1 |         0 |    -1,035 |         0 |     -1,365 |      0.00 | -0.49 |     0 |   -49
  122 | FNAL_GPGRID_5          | atlas           |         8 |       880 |       880 |   4,939.4 |      4,939 |      0.95 |  0.95 |    12 |    12
  123 | FNAL_GPGRID_5          | des             |         1 |     2,150 |    -4,981 |   3,235.2 |    -28,053 |      0.70 |  0.12 |    70 |    12
  124 | FNAL_GPGRID_5          | des             |         2 |       358 |      -107 |     384.1 |       -461 |      0.71 | -0.06 |    35 |    -4
  125 | FNAL_GPGRID_5          | des             |         8 |         4 |    -1,176 |         0 |       -421 |      0.00 | -0.93 |     0 |   -12
  126 | FNAL_GPGRID_5          | des             |        16 |         0 |        -4 |         0 |        -18 |      0.00 | -10.00 |     0 |   -63
  127 | FNAL_GPGRID_5          | des             |        20 |         0 |       -70 |         0 |       -609 |      0.00 | -13.91 |     0 |   -70
  128 | FNAL_GPGRID_5          | des             |        30 |     1,451 |       472 |  16,815.9 |      8,468 |     19.20 |  5.78 |    64 |    19
  129 | FNAL_GPGRID_5          | des             |        40 |         0 |        -1 |         0 |          0 |      0.00 |  0.00 |     0 |     0
  130 | FNAL_GPGRID_5          | fermilab        |         8 |    14,959 |    -3,431 | 647,555.2 |   -185,989 |      5.05 |  0.02 |    63 |     0
  131 | FNAL_GPGRID_5          | glow            |         1 |       257 |       256 |   5,987.0 |      5,963 |      0.00 |  0.00 |     0 |     0
  132 | FNAL_GPGRID_5          | glow            |         8 |       548 |       402 |  12,658.3 |      9,426 |      4.26 |  0.52 |    53 |     6
  133 | FNAL_GPGRID_5          | hcc             |         8 |       486 |       486 |   8,482.8 |      8,482 |      3.49 |  3.49 |    44 |    44
  134 | FNAL_GPGRID_5          | icecube         |         8 |       137 |       137 |   2,767.5 |      2,767 |      2.69 |  2.69 |    34 |    34
  135 | FNAL_GPGRID_5          | nova            |         8 |         0 |       -21 |         0 |         -7 |      0.00 |  0.00 |     0 |     0
  136 | FNAL_GPGRID_5          | osg             |         1 |        78 |        73 |   1,425.5 |      1,333 |      0.00 |  0.00 |     0 |     0
  137 | FNAL_GPGRID_5          | osg             |         8 |       527 |       238 |   8,835.5 |      3,066 |      4.69 | -0.76 |    59 |    -9
  138 | FNAL_GPGRID_5          | sbgrid          |         8 |        64 |        62 |     357.4 |        329 |      4.82 | -0.58 |    60 |    -8
  139 | FNAL_WILSON            | aclcntrl (nr)   |         1 |       111 |       -79 |     262.7 |        -85 |      0.96 | -0.40 |    96 |   -40
  140 | FNAL_WILSON            | booster (nr)    |         1 |        57 |        54 |      27.5 |         27 |     10.70 | -20.86 | 1,070 | -2,086
  141 | FNAL_WILSON            | booster (nr)    |         2 |         0 |        -2 |         0 |          0 |      0.00 | -63.14 |     0 | -3,157
  142 | FNAL_WILSON            | booster (nr)    |         4 |       130 |        74 |   2,365.1 |      1,868 |    127.72 | -0.03 | 3,193 |    -1
  143 | FNAL_WILSON            | cms-mt-tests (nr) |         1 |         1 |       -71 |         0 |       -143 |      0.00 | -84.16 |     0 | -8,416
  144 | FNAL_WILSON            | desnnet (nr)    |         1 |       101 |        15 |     216.4 |        175 |      1.38 |  0.32 |   138 |    32
  145 | FNAL_WILSON            | desnnet (nr)    |         2 |         0 |        -1 |         0 |          0 |      0.00 | -0.71 |     0 |   -36
  146 | FNAL_WILSON            | g4 (nr)         |         1 |         7 |       -28 |       8.3 |         -1 |      1.02 |  0.99 |   102 |    99
  147 | FNAL_WILSON            | g4p (nr)        |         1 |       452 |      -216 |     374.7 |     -1,298 |     21.49 | 15.79 | 2,149 | 1,579
  148 | FNAL_WILSON            | genmc (nr)      |         1 |         3 |        -3 |       3.4 |         -8 |      0.17 |  0.17 |    17 |    17
  149 | FNAL_WILSON            | genmc (nr)      |        24 |         3 |       -55 |         0 |         -2 |    254.07 | -85.98 | 1,059 |  -358
  150 | FNAL_WILSON            | iota (nr)       |         1 |        23 |        21 |      14.4 |         13 |     26.35 | 14.93 | 2,635 | 1,493
  151 | FNAL_WILSON            | iota (nr)       |         2 |        57 |        34 |      87.7 |         75 |     53.68 | 30.58 | 2,684 | 1,529
  152 | FNAL_WILSON            | iota (nr)       |         4 |         8 |         4 |      15.3 |         12 |    118.56 | 70.93 | 2,964 | 1,773
  153 | FNAL_WILSON            | iota (nr)       |         6 |        11 |        11 |      29.2 |         29 |    150.37 | 150.37 | 2,506 | 2,506
  154 | FNAL_WILSON            | iota (nr)       |         8 |         4 |         4 |      16.5 |         16 |    252.28 | 252.28 | 3,154 | 3,154
  155 | FNAL_WILSON            | iota (nr)       |        12 |         4 |         2 |      17.9 |         17 |    143.92 | 119.89 | 1,199 |   999
  156 | FNAL_WILSON            | iota (nr)       |        20 |         1 |        -1 |       8.4 |          8 |    239.89 | 218.98 | 1,199 | 1,094
  157 | FNAL_WILSON            | lqcdadmin (nr)  |         1 |         1 |       -10 |       0.1 |         -2 |      0.01 | -3.09 |     1 |  -309
  158 | FNAL_WILSON            | lqcdadmin (nr)  |         2 |         1 |         0 |       0.4 |          0 |      0.00 |  0.00 |     0 |     0
  159 | FNAL_WILSON            | lqcdadmin (nr)  |         4 |         0 |        -5 |         0 |          0 |      0.00 | -46.70 |     0 | -1,168
  160 | FNAL_WILSON            | lqcdadmin (nr)  |        48 |         0 |        -1 |         0 |          0 |      0.00 | -15.21 |     0 |   -32
  161 | FNAL_WILSON            | lqcdg (nr)      |         1 |         2 |       -10 |      16.1 |        -54 |      0.00 | -0.07 |     0 |    -7
  162 | FNAL_WILSON            | mi (nr)         |         1 |         1 |      -269 |       0.1 |     -3,741 |      0.00 | -29.84 |     0 | -2,984
  163 | FNAL_WILSON            | mi (nr)         |         2 |         0 |       -21 |         0 |         -3 |      0.00 | -41.91 |     0 | -2,096
  164 | FNAL_WILSON            | mi (nr)         |         3 |         0 |        -1 |         0 |          0 |      0.00 | -34.01 |     0 | -1,134
  165 | FNAL_WILSON            | mi (nr)         |         4 |         0 |        -1 |         0 |          0 |      0.00 | -23.69 |     0 |  -592
  166 | FNAL_WILSON            | mi (nr)         |         5 |         0 |        -8 |         0 |        -14 |      0.00 | -39.14 |     0 |  -783
  167 | FNAL_WILSON            | mi (nr)         |         6 |         0 |        -6 |         0 |          0 |      0.00 | -69.55 |     0 | -1,159
  168 | FNAL_WILSON            | mi (nr)         |         7 |         0 |        -1 |         0 |          0 |      0.00 | -80.92 |     0 | -1,156
  169 | FNAL_WILSON            | mi (nr)         |         8 |         4 |        -2 |      70.1 |         67 |    255.45 |  6.06 | 3,193 |    76
  170 | FNAL_WILSON            | mi (nr)         |        12 |         0 |        -1 |         0 |          0 |      0.00 |  0.00 |     0 |     0
  171 | FNAL_WILSON            | mi (nr)         |        16 |         1 |         1 |      11.0 |         10 |    511.02 | 511.02 | 3,194 | 3,194
  172 | FNAL_WILSON            | mi (nr)         |        31 |         0 |        -7 |         0 |         -1 |      0.00 | -930.41 |     0 | -3,001
  173 | FNAL_WILSON            | minervag (nr)   |         1 |        10 |        -2 |       1.2 |         -9 |      3.65 |  2.51 |   365 |   251
  174 | FNAL_WILSON            | nnet (nr)       |         1 |         2 |        -3 |      31.6 |        -80 |      0.68 | -0.37 |    68 |   -37
  175 | FNAL_WILSON            | nuosc (nr)      |         1 |         0 |        -1 |         0 |          0 |      0.00 |  0.00 |     0 |     0
  176 | FNAL_WILSON            | qcdloop (nr)    |         2 |        16 |        16 |       8.3 |          8 |     63.12 | 63.12 | 3,156 | 3,156
  177 | FNAL_WILSON            | qcdloop (nr)    |         4 |         4 |         4 |       0.2 |          0 |    116.10 | 116.10 | 2,902 | 2,902
  178 | FNAL_WILSON            | qcdloop (nr)    |         6 |         4 |         4 |      20.5 |         20 |    185.09 | 185.09 | 3,085 | 3,085
  179 | FNAL_WILSON            | qcdloop (nr)    |         8 |        16 |        13 |       0.8 |          0 |    162.36 | -87.60 | 2,029 | -1,096
  180 | FNAL_WILSON            | qcdloop (nr)    |        12 |         4 |         1 |       0.5 |          0 |    138.65 | -2.35 | 1,155 |   -20
  181 | FNAL_WILSON            | qcdloop (nr)    |        16 |         2 |         2 |      13.7 |         13 |    487.75 | 487.75 | 3,048 | 3,048
  182 | FNAL_WILSON            | qcdloop (nr)    |        20 |         3 |         3 |      13.8 |         13 |    235.67 | 235.67 | 1,178 | 1,178
  183 | FNAL_WILSON            | qcdloop (nr)    |        24 |         3 |         3 |       0.5 |          0 |    279.79 | 279.79 | 1,166 | 1,166
  184 | FNAL_WILSON            | usertest (nr)   |         1 |        85 |        17 |       0.3 |          0 |      6.26 |  6.26 |   626 |   626
  185 | FNAL_WILSON            | usertest (nr)   |         5 |         0 |       -11 |         0 |         -2 |      0.00 | -158.87 |     0 | -3,177
  186 | FNAL_WILSON            | uslarp (nr)     |         1 |        69 |        48 |      46.2 |         46 |     24.83 | 24.83 | 2,483 | 2,483
  187 | FNAL_WILSON            | uslarp (nr)     |         2 |        19 |        18 |     243.1 |        243 |     52.04 | 52.04 | 2,602 | 2,602
  188 | FNAL_WILSON            | uslarp (nr)     |         3 |         4 |         4 |      28.7 |         28 |     35.98 | 35.98 | 1,199 | 1,199
  189 | FNAL_WILSON            | uslarp (nr)     |         4 |         4 |        -8 |      27.2 |        -41 |    127.91 | 79.15 | 3,198 | 1,979
  190 | FNAL_WILSON            | uslarp (nr)     |         5 |         1 |         1 |      24.0 |         24 |     59.97 | 59.97 | 1,199 | 1,199
  191 | FNAL_WILSON            | uslarp (nr)     |         6 |        62 |        13 |     767.4 |        550 |     71.97 |  0.01 | 1,199 |     0
  192 | FNAL_WILSON            | uslarp (nr)     |         8 |        95 |        -4 |     806.8 |        210 |    247.01 | -8.84 | 3,088 |  -110
  193 | FNAL_WILSON            | uslarp (nr)     |        10 |         0 |       -16 |         0 |       -128 |      0.00 | -119.94 |     0 | -1,199
  194 | FNAL_WILSON            | uslarp (nr)     |        12 |        28 |       -13 |     225.8 |       -135 |    143.92 | -1.76 | 1,199 |   -15
  195 | FNAL_WILSON            | uslarp (nr)     |        16 |         4 |         2 |      20.0 |        -16 |    511.60 | -0.17 | 3,197 |    -2
  196 | FNAL_WILSON            | uslarp (nr)     |        20 |         0 |        -1 |         0 |         -3 |      0.00 | -639.24 |     0 | -3,196
