09/17/14 19:14:33 ******************************************************
09/17/14 19:14:33 ** condor_gridmanager (CONDOR_GRIDMANAGER) STARTING UP
09/17/14 19:14:33 ** /usr/sbin/condor_gridmanager
09/17/14 19:14:33 ** SubsystemInfo: name=GRIDMANAGER type=DAEMON(12) class=DAEMON(1)
09/17/14 19:14:33 ** Configuration: subsystem:GRIDMANAGER local:<NONE> class:DAEMON
09/17/14 19:14:33 ** $CondorVersion: 8.0.6 Mar 25 2014 $
09/17/14 19:14:33 ** $CondorPlatform: X86_64-CentOS_5.10 $
09/17/14 19:14:33 ** PID = 18273
09/17/14 19:14:33 ** Log last touched 9/12 07:50:44
09/17/14 19:14:33 ******************************************************
09/17/14 19:14:33 Using config source: /etc/condor/condor_config
09/17/14 19:14:33 Using local config sources: 
09/17/14 19:14:33    /etc/condor/config.d/00personal_condor.config
09/17/14 19:14:33    /etc/condor/config.d/99_gratia.conf
09/17/14 19:14:33    /etc/condor/config.d/ce.conf
09/17/14 19:14:33    /etc/condor/config.d/osg-condor-event-publisher-simple.conf
09/17/14 19:14:33 Daemon Log is logging: D_ALWAYS D_ERROR
09/17/14 19:14:33 DaemonCore: command socket at <129.79.53.31:41627>
09/17/14 19:14:33 DaemonCore: private command socket at <129.79.53.31:41627>
09/17/14 19:14:36 [18273] Found job 1464.0 --- inserting
09/17/14 19:14:36 [18273] gahp server not up yet, delaying ping
09/17/14 22:14:54 [18273] (1464.0) doEvaluateState called: gmState GM_SUBMITTED, globusState 1
09/17/14 22:14:54 [18273] (1464.0) doEvaluateState called: gmState GM_PROBE_JOBMANAGER, globusState 1
09/17/14 22:19:54 [18273] (1464.0) doEvaluateState called: gmState GM_SUBMITTED, globusState 1
09/17/14 22:19:55 [18273] (1464.0) doEvaluateState called: gmState GM_PROBE_JOBMANAGER, globusState 1
09/17/14 22:24:55 [18273] (1464.0) doEvaluateState called: gmState GM_SUBMITTED, globusState 1
09/17/14 22:24:55 [18273] (1464.0) doEvaluateState called: gmState GM_PROBE_JOBMANAGER, globusState 1
09/17/14 22:29:55 [18273] (1464.0) doEvaluateState called: gmState GM_SUBMITTED, globusState 1
09/17/14 22:29:55 [18273] (1464.0) doEvaluateState called: gmState GM_PROBE_JOBMANAGER, globusState 1
09/17/14 22:34:55 [18273] (1464.0) doEvaluateState called: gmState GM_SUBMITTED, globusState 1
09/17/14 22:34:56 [18273] (1464.0) doEvaluateState called: gmState GM_PROBE_JOBMANAGER, globusState 1
09/17/14 22:39:56 [18273] (1464.0) doEvaluateState called: gmState GM_SUBMITTED, globusState 1
09/17/14 22:39:56 [18273] (1464.0) doEvaluateState called: gmState GM_PROBE_JOBMANAGER, globusState 1
09/17/14 22:44:56 [18273] (1464.0) doEvaluateState called: gmState GM_SUBMITTED, globusState 1
09/17/14 22:44:56 [18273] (1464.0) doEvaluateState called: gmState GM_PROBE_JOBMANAGER, globusState 1
09/17/14 22:49:56 [18273] (1464.0) doEvaluateState called: gmState GM_SUBMITTED, globusState 1
09/17/14 22:49:57 [18273] (1464.0) doEvaluateState called: gmState GM_PROBE_JOBMANAGER, globusState 1
09/17/14 22:54:57 [18273] (1464.0) doEvaluateState called: gmState GM_SUBMITTED, globusState 1
09/17/14 22:54:57 [18273] (1464.0) doEvaluateState called: gmState GM_PROBE_JOBMANAGER, globusState 1
09/17/14 22:59:57 [18273] (1464.0) doEvaluateState called: gmState GM_SUBMITTED, globusState 1
09/17/14 22:59:58 [18273] (1464.0) doEvaluateState called: gmState GM_PROBE_JOBMANAGER, globusState 1
09/17/14 23:04:58 [18273] (1464.0) doEvaluateState called: gmState GM_SUBMITTED, globusState 1
09/17/14 23:04:58 [18273] (1464.0) doEvaluateState called: gmState GM_PROBE_JOBMANAGER, globusState 1
09/17/14 23:09:58 [18273] (1464.0) doEvaluateState called: gmState GM_SUBMITTED, globusState 1
09/17/14 23:09:58 [18273] (1464.0) doEvaluateState called: gmState GM_PROBE_JOBMANAGER, globusState 1
09/17/14 23:14:58 [18273] (1464.0) doEvaluateState called: gmState GM_SUBMITTED, globusState 1
09/17/14 23:14:59 [18273] (1464.0) doEvaluateState called: gmState GM_PROBE_JOBMANAGER, globusState 1
09/17/14 23:19:59 [18273] (1464.0) doEvaluateState called: gmState GM_SUBMITTED, globusState 1
09/17/14 23:19:59 [18273] (1464.0) doEvaluateState called: gmState GM_PROBE_JOBMANAGER, globusState 1
09/17/14 23:24:59 [18273] (1464.0) doEvaluateState called: gmState GM_SUBMITTED, globusState 1
09/17/14 23:24:59 [18273] (1464.0) doEvaluateState called: gmState GM_PROBE_JOBMANAGER, globusState 1
09/17/14 23:29:59 [18273] (1464.0) doEvaluateState called: gmState GM_SUBMITTED, globusState 1
09/17/14 23:30:00 [18273] (1464.0) doEvaluateState called: gmState GM_PROBE_JOBMANAGER, globusState 1
09/17/14 23:35:00 [18273] (1464.0) doEvaluateState called: gmState GM_SUBMITTED, globusState 1
09/17/14 23:35:00 [18273] (1464.0) doEvaluateState called: gmState GM_PROBE_JOBMANAGER, globusState 1
09/17/14 23:40:00 [18273] (1464.0) doEvaluateState called: gmState GM_SUBMITTED, globusState 1
09/17/14 23:40:00 [18273] (1464.0) doEvaluateState called: gmState GM_PROBE_JOBMANAGER, globusState 1
09/17/14 23:45:00 [18273] (1464.0) doEvaluateState called: gmState GM_SUBMITTED, globusState 1
09/17/14 23:45:01 [18273] (1464.0) doEvaluateState called: gmState GM_PROBE_JOBMANAGER, globusState 1
09/17/14 23:50:01 [18273] (1464.0) doEvaluateState called: gmState GM_SUBMITTED, globusState 1
09/17/14 23:50:01 [18273] (1464.0) doEvaluateState called: gmState GM_PROBE_JOBMANAGER, globusState 1
09/17/14 23:55:01 [18273] (1464.0) doEvaluateState called: gmState GM_SUBMITTED, globusState 1
09/17/14 23:55:01 [18273] (1464.0) doEvaluateState called: gmState GM_PROBE_JOBMANAGER, globusState 1
09/18/14 00:00:01 [18273] (1464.0) doEvaluateState called: gmState GM_SUBMITTED, globusState 1
09/18/14 00:00:01 [18273] (1464.0) doEvaluateState called: gmState GM_PROBE_JOBMANAGER, globusState 1
09/18/14 00:05:01 [18273] (1464.0) doEvaluateState called: gmState GM_SUBMITTED, globusState 1
09/18/14 00:05:01 [18273] (1464.0) doEvaluateState called: gmState GM_PROBE_JOBMANAGER, globusState 1
09/18/14 00:10:01 [18273] (1464.0) doEvaluateState called: gmState GM_SUBMITTED, globusState 1
09/18/14 00:10:01 [18273] (1464.0) doEvaluateState called: gmState GM_PROBE_JOBMANAGER, globusState 1
09/18/14 00:15:01 [18273] (1464.0) doEvaluateState called: gmState GM_SUBMITTED, globusState 1
09/18/14 00:15:01 [18273] (1464.0) doEvaluateState called: gmState GM_PROBE_JOBMANAGER, globusState 1
09/18/14 00:20:01 [18273] (1464.0) doEvaluateState called: gmState GM_SUBMITTED, globusState 1
09/18/14 00:20:01 [18273] (1464.0) doEvaluateState called: gmState GM_PROBE_JOBMANAGER, globusState 1
09/18/14 00:25:01 [18273] (1464.0) doEvaluateState called: gmState GM_SUBMITTED, globusState 1
09/18/14 00:25:01 [18273] (1464.0) doEvaluateState called: gmState GM_PROBE_JOBMANAGER, globusState 1
09/18/14 00:30:01 [18273] (1464.0) doEvaluateState called: gmState GM_SUBMITTED, globusState 1
09/18/14 00:30:01 [18273] (1464.0) doEvaluateState called: gmState GM_PROBE_JOBMANAGER, globusState 1
09/18/14 00:35:01 [18273] (1464.0) doEvaluateState called: gmState GM_SUBMITTED, globusState 1
09/18/14 00:35:01 [18273] (1464.0) doEvaluateState called: gmState GM_PROBE_JOBMANAGER, globusState 1
09/18/14 00:40:01 [18273] (1464.0) doEvaluateState called: gmState GM_SUBMITTED, globusState 1
09/18/14 00:40:01 [18273] (1464.0) doEvaluateState called: gmState GM_PROBE_JOBMANAGER, globusState 1
09/18/14 00:45:01 [18273] (1464.0) doEvaluateState called: gmState GM_SUBMITTED, globusState 1
09/18/14 00:45:01 [18273] (1464.0) doEvaluateState called: gmState GM_PROBE_JOBMANAGER, globusState 1
09/18/14 00:50:01 [18273] (1464.0) doEvaluateState called: gmState GM_SUBMITTED, globusState 1
09/18/14 00:50:02 [18273] (1464.0) doEvaluateState called: gmState GM_PROBE_JOBMANAGER, globusState 1
09/18/14 00:55:02 [18273] (1464.0) doEvaluateState called: gmState GM_SUBMITTED, globusState 1
09/18/14 00:55:02 [18273] (1464.0) doEvaluateState called: gmState GM_PROBE_JOBMANAGER, globusState 1
09/18/14 01:00:02 [18273] (1464.0) doEvaluateState called: gmState GM_SUBMITTED, globusState 1
09/18/14 01:00:02 [18273] (1464.0) doEvaluateState called: gmState GM_PROBE_JOBMANAGER, globusState 1
09/18/14 01:05:02 [18273] (1464.0) doEvaluateState called: gmState GM_SUBMITTED, globusState 1
09/18/14 01:05:02 [18273] (1464.0) doEvaluateState called: gmState GM_PROBE_JOBMANAGER, globusState 1
09/18/14 01:10:02 [18273] (1464.0) doEvaluateState called: gmState GM_SUBMITTED, globusState 1
09/18/14 01:10:02 [18273] (1464.0) doEvaluateState called: gmState GM_PROBE_JOBMANAGER, globusState 1
09/18/14 01:15:02 [18273] (1464.0) doEvaluateState called: gmState GM_SUBMITTED, globusState 1
09/18/14 01:15:02 [18273] (1464.0) doEvaluateState called: gmState GM_PROBE_JOBMANAGER, globusState 1
09/18/14 01:20:02 [18273] (1464.0) doEvaluateState called: gmState GM_SUBMITTED, globusState 1
09/18/14 01:20:02 [18273] (1464.0) doEvaluateState called: gmState GM_PROBE_JOBMANAGER, globusState 1
09/18/14 01:25:02 [18273] (1464.0) doEvaluateState called: gmState GM_SUBMITTED, globusState 1
09/18/14 01:25:03 [18273] (1464.0) doEvaluateState called: gmState GM_PROBE_JOBMANAGER, globusState 1
09/18/14 01:30:03 [18273] (1464.0) doEvaluateState called: gmState GM_SUBMITTED, globusState 1
09/18/14 01:30:03 [18273] (1464.0) doEvaluateState called: gmState GM_PROBE_JOBMANAGER, globusState 1
09/18/14 01:35:03 [18273] (1464.0) doEvaluateState called: gmState GM_SUBMITTED, globusState 1
09/18/14 01:35:03 [18273] (1464.0) doEvaluateState called: gmState GM_PROBE_JOBMANAGER, globusState 1
09/18/14 01:40:03 [18273] (1464.0) doEvaluateState called: gmState GM_SUBMITTED, globusState 1
09/18/14 01:40:04 [18273] (1464.0) doEvaluateState called: gmState GM_PROBE_JOBMANAGER, globusState 1
09/18/14 01:45:04 [18273] (1464.0) doEvaluateState called: gmState GM_SUBMITTED, globusState 1
09/18/14 01:45:04 [18273] (1464.0) doEvaluateState called: gmState GM_PROBE_JOBMANAGER, globusState 1
09/18/14 01:50:04 [18273] (1464.0) doEvaluateState called: gmState GM_SUBMITTED, globusState 1
09/18/14 01:50:05 [18273] (1464.0) doEvaluateState called: gmState GM_PROBE_JOBMANAGER, globusState 1
09/18/14 01:55:05 [18273] (1464.0) doEvaluateState called: gmState GM_SUBMITTED, globusState 1
09/18/14 01:55:05 [18273] (1464.0) doEvaluateState called: gmState GM_PROBE_JOBMANAGER, globusState 1
09/18/14 02:00:05 [18273] (1464.0) doEvaluateState called: gmState GM_SUBMITTED, globusState 1
09/18/14 02:00:05 [18273] (1464.0) doEvaluateState called: gmState GM_PROBE_JOBMANAGER, globusState 1
09/18/14 02:05:05 [18273] (1464.0) doEvaluateState called: gmState GM_SUBMITTED, globusState 1
09/18/14 02:05:06 [18273] (1464.0) doEvaluateState called: gmState GM_PROBE_JOBMANAGER, globusState 1
09/18/14 02:10:06 [18273] (1464.0) doEvaluateState called: gmState GM_SUBMITTED, globusState 1
09/18/14 02:10:06 [18273] (1464.0) doEvaluateState called: gmState GM_PROBE_JOBMANAGER, globusState 1
09/18/14 02:15:06 [18273] (1464.0) doEvaluateState called: gmState GM_SUBMITTED, globusState 1
09/18/14 02:15:06 [18273] (1464.0) doEvaluateState called: gmState GM_PROBE_JOBMANAGER, globusState 1
09/18/14 02:20:06 [18273] (1464.0) doEvaluateState called: gmState GM_SUBMITTED, globusState 1
09/18/14 02:20:06 [18273] (1464.0) doEvaluateState called: gmState GM_PROBE_JOBMANAGER, globusState 1
09/18/14 02:25:06 [18273] (1464.0) doEvaluateState called: gmState GM_SUBMITTED, globusState 1
09/18/14 02:25:06 [18273] (1464.0) doEvaluateState called: gmState GM_PROBE_JOBMANAGER, globusState 1
09/18/14 02:30:06 [18273] (1464.0) doEvaluateState called: gmState GM_SUBMITTED, globusState 1
09/18/14 02:30:06 [18273] (1464.0) doEvaluateState called: gmState GM_PROBE_JOBMANAGER, globusState 1
09/18/14 02:35:06 [18273] (1464.0) doEvaluateState called: gmState GM_SUBMITTED, globusState 1
09/18/14 02:35:06 [18273] (1464.0) doEvaluateState called: gmState GM_PROBE_JOBMANAGER, globusState 1
09/18/14 02:40:06 [18273] (1464.0) doEvaluateState called: gmState GM_SUBMITTED, globusState 1
09/18/14 02:40:06 [18273] (1464.0) doEvaluateState called: gmState GM_PROBE_JOBMANAGER, globusState 1
09/18/14 02:45:06 [18273] (1464.0) doEvaluateState called: gmState GM_SUBMITTED, globusState 1
09/18/14 02:45:07 [18273] (1464.0) doEvaluateState called: gmState GM_PROBE_JOBMANAGER, globusState 1
09/18/14 02:50:07 [18273] (1464.0) doEvaluateState called: gmState GM_SUBMITTED, globusState 1
09/18/14 02:50:07 [18273] (1464.0) doEvaluateState called: gmState GM_PROBE_JOBMANAGER, globusState 1
09/18/14 02:55:07 [18273] (1464.0) doEvaluateState called: gmState GM_SUBMITTED, globusState 1
09/18/14 02:55:07 [18273] (1464.0) doEvaluateState called: gmState GM_PROBE_JOBMANAGER, globusState 1
09/18/14 03:00:07 [18273] (1464.0) doEvaluateState called: gmState GM_SUBMITTED, globusState 1
09/18/14 03:00:07 [18273] (1464.0) doEvaluateState called: gmState GM_PROBE_JOBMANAGER, globusState 1
09/18/14 03:05:07 [18273] (1464.0) doEvaluateState called: gmState GM_SUBMITTED, globusState 1
09/18/14 03:05:07 [18273] (1464.0) doEvaluateState called: gmState GM_PROBE_JOBMANAGER, globusState 1
09/18/14 03:10:07 [18273] (1464.0) doEvaluateState called: gmState GM_SUBMITTED, globusState 1
09/18/14 03:10:07 [18273] (1464.0) doEvaluateState called: gmState GM_PROBE_JOBMANAGER, globusState 1
09/18/14 03:15:07 [18273] (1464.0) doEvaluateState called: gmState GM_SUBMITTED, globusState 1
09/18/14 03:15:07 [18273] (1464.0) doEvaluateState called: gmState GM_PROBE_JOBMANAGER, globusState 1
09/18/14 03:20:07 [18273] (1464.0) doEvaluateState called: gmState GM_SUBMITTED, globusState 1
09/18/14 03:20:07 [18273] (1464.0) doEvaluateState called: gmState GM_PROBE_JOBMANAGER, globusState 1
09/18/14 03:25:07 [18273] (1464.0) doEvaluateState called: gmState GM_SUBMITTED, globusState 1
09/18/14 03:25:07 [18273] (1464.0) doEvaluateState called: gmState GM_PROBE_JOBMANAGER, globusState 1
09/18/14 03:30:07 [18273] (1464.0) doEvaluateState called: gmState GM_SUBMITTED, globusState 1
09/18/14 03:30:07 [18273] (1464.0) doEvaluateState called: gmState GM_PROBE_JOBMANAGER, globusState 1
09/18/14 03:35:07 [18273] (1464.0) doEvaluateState called: gmState GM_SUBMITTED, globusState 1
09/18/14 03:35:08 [18273] (1464.0) doEvaluateState called: gmState GM_PROBE_JOBMANAGER, globusState 1
09/18/14 03:40:08 [18273] (1464.0) doEvaluateState called: gmState GM_SUBMITTED, globusState 1
09/18/14 03:40:08 [18273] (1464.0) doEvaluateState called: gmState GM_PROBE_JOBMANAGER, globusState 1
09/18/14 03:45:08 [18273] (1464.0) doEvaluateState called: gmState GM_SUBMITTED, globusState 1
09/18/14 03:45:08 [18273] (1464.0) doEvaluateState called: gmState GM_PROBE_JOBMANAGER, globusState 1
09/18/14 03:50:08 [18273] (1464.0) doEvaluateState called: gmState GM_SUBMITTED, globusState 1
09/18/14 03:50:08 [18273] (1464.0) doEvaluateState called: gmState GM_PROBE_JOBMANAGER, globusState 1
09/18/14 03:55:08 [18273] (1464.0) doEvaluateState called: gmState GM_SUBMITTED, globusState 1
09/18/14 03:55:09 [18273] (1464.0) doEvaluateState called: gmState GM_PROBE_JOBMANAGER, globusState 1
09/18/14 04:00:09 [18273] (1464.0) doEvaluateState called: gmState GM_SUBMITTED, globusState 1
09/18/14 04:00:09 [18273] (1464.0) doEvaluateState called: gmState GM_PROBE_JOBMANAGER, globusState 1
09/18/14 04:05:09 [18273] (1464.0) doEvaluateState called: gmState GM_SUBMITTED, globusState 1
09/18/14 04:05:09 [18273] (1464.0) doEvaluateState called: gmState GM_PROBE_JOBMANAGER, globusState 1
09/18/14 04:10:09 [18273] (1464.0) doEvaluateState called: gmState GM_SUBMITTED, globusState 1
09/18/14 04:10:10 [18273] (1464.0) doEvaluateState called: gmState GM_PROBE_JOBMANAGER, globusState 1
09/18/14 04:15:10 [18273] (1464.0) doEvaluateState called: gmState GM_SUBMITTED, globusState 1
09/18/14 04:15:10 [18273] (1464.0) doEvaluateState called: gmState GM_PROBE_JOBMANAGER, globusState 1
09/18/14 04:20:10 [18273] (1464.0) doEvaluateState called: gmState GM_SUBMITTED, globusState 1
09/18/14 04:20:10 [18273] (1464.0) doEvaluateState called: gmState GM_PROBE_JOBMANAGER, globusState 1
09/18/14 04:25:10 [18273] (1464.0) doEvaluateState called: gmState GM_SUBMITTED, globusState 1
09/18/14 04:25:10 [18273] (1464.0) doEvaluateState called: gmState GM_PROBE_JOBMANAGER, globusState 1
09/18/14 04:30:10 [18273] (1464.0) doEvaluateState called: gmState GM_SUBMITTED, globusState 1
09/18/14 04:30:11 [18273] (1464.0) doEvaluateState called: gmState GM_PROBE_JOBMANAGER, globusState 1
